modifier,location,condition,default_hotkey,command_id,comment,application,group
close,application,,,`IDC_EXIT`,Quit the browser,Google Chrome,Windows & Tabs
move,tab,,Ctrl+Shift+PageDown,`IDC_MOVE_TAB_NEXT`,Move current tab one slot right,Google Chrome,Windows & Tabs
move,tab,,Ctrl+Shift+PageUp,`IDC_MOVE_TAB_PREVIOUS`,Move current tab one slot left,Google Chrome,Windows & Tabs
minimize,window,,,`IDC_MINIMIZE_WINDOW`,Minimize the window,Google Chrome,Windows & Tabs
maximize,window,,,`IDC_MAXIMIZE_WINDOW`,Maximize the window,Google Chrome,Windows & Tabs
restore,window,,,`IDC_RESTORE_WINDOW`,(Windows/Linux) Restore a minimized/maximized window,Google Chrome,Windows & Tabs
open,application,,,`IDC_OPEN_IN_PWA_WINDOW`,Reopen the current page as an installed web app,Google Chrome,Windows & Tabs
move,tab,,,`IDC_MOVE_TAB_TO_NEW_WINDOW`,Move the current tab into its own new window,Google Chrome,Windows & Tabs
new,split,,Alt+Shift+N,`IDC_NEW_SPLIT_TAB`,(Win/Linux) Split the tab into a side-by-side view,Google Chrome,Windows & Tabs
toggle,tab,,,`IDC_TOGGLE_VERTICAL_TABS`,Toggle the vertical tab-strip layout,Google Chrome,Windows & Tabs
collapse,tab,,Ctrl+Shift+L,`IDC_TOGGLE_VERTICAL_TABS_COLLAPSE`,Collapse/expand the vertical tab strip,Google Chrome,Windows & Tabs
new,tab,,Alt+Shift+C,`IDC_ADD_NEW_TAB_TO_GROUP`,Add a new tab to the current tab group,Google Chrome,Tab Groups
new,group,,Alt+Shift+P,`IDC_CREATE_NEW_TAB_GROUP`,Group the current tab into a new tab group,Google Chrome,Tab Groups
next,group,,Alt+Shift+X,`IDC_FOCUS_NEXT_TAB_GROUP`,Move focus to the next tab group,Google Chrome,Tab Groups
previous,group,,Alt+Shift+Z,`IDC_FOCUS_PREV_TAB_GROUP`,Move focus to the previous tab group,Google Chrome,Tab Groups
close,group,,Alt+Shift+W,`IDC_CLOSE_TAB_GROUP`,Close every tab in the current group,Google Chrome,Tab Groups
new,group,,,`IDC_GROUP_UNGROUPED_TABS`,Group all currently ungrouped tabs,Google Chrome,Tab Groups
new,group,,,`IDC_ADD_NEW_TAB_RECENT_GROUP`,Add a new tab into a recently-used group,Google Chrome,Tab Groups
,,,,`IDC_UNFOCUS_TAB_GROUP`,Move keyboard focus out of a tab group,Google Chrome,Tab Groups
,,,,`IDC_COPY_URL`,Copy the current page's URL,Google Chrome,Web App (PWA) Windows
open,application,,,`IDC_OPEN_IN_CHROME`,Open this web app page in a regular Chrome tab,Google Chrome,Web App (PWA) Windows
open,setting,,,`IDC_WEB_APP_SETTINGS`,Open this web app's settings,Google Chrome,Web App (PWA) Windows
new,bookmark,,Ctrl+D,`IDC_BOOKMARK_THIS_TAB`,Bookmark the current tab,Google Chrome,Bookmarks & Reading List
new,bookmark,,Ctrl+Shift+D,`IDC_BOOKMARK_ALL_TABS`,Bookmark all open tabs into a new folder,Google Chrome,Bookmarks & Reading List
toggle,bookmark,,Ctrl+Shift+B,`IDC_SHOW_BOOKMARK_BAR`,Toggle the bookmarks bar,Google Chrome,Bookmarks & Reading List
show,bookmark,,Ctrl+Shift+O,`IDC_SHOW_BOOKMARK_MANAGER`,Open the Bookmark Manager,Google Chrome,Bookmarks & Reading List
show,bookmark,,,`IDC_BOOKMARK_MANAGER`,Open Bookmark Manager (context-menu variant),Google Chrome,Bookmarks & Reading List
show,bookmark,,,`IDC_SHOW_BOOKMARK_SIDE_PANEL`,Open Bookmarks in the side panel,Google Chrome,Bookmarks & Reading List
new,reading_list,,,`IDC_READING_LIST_MENU_ADD_TAB`,Add the current tab to the Reading List,Google Chrome,Bookmarks & Reading List
show,reading_list,,,`IDC_READING_LIST_MENU_SHOW_UI`,Open the Reading List,Google Chrome,Bookmarks & Reading List
,,,,`IDC_SHOW_READING_MODE_SIDE_PANEL`,Open Reading Mode in the side panel,Google Chrome,Bookmarks & Reading List
,,,Alt+Shift+R,`IDC_SHOW_READING_MODE_KEYBOARD`,Toggle Reading Mode,Google Chrome,Bookmarks & Reading List
new,reading_list,,,`IDC_CONTENT_CONTEXT_ADD_LINK_TO_READING_LIST`,Add the right-clicked link to the Reading List,Google Chrome,Bookmarks & Reading List
,,,,`IDC_CONTENT_CONTEXT_OPEN_IN_READING_MODE`,Open the page in Reading Mode,Google Chrome,Bookmarks & Reading List
open,bookmark,,,`IDC_BOOKMARK_BAR_OPEN_ALL`,Open every bookmark in this folder as tabs,Google Chrome,Bookmarks & Reading List
open,bookmark,,,`IDC_BOOKMARK_BAR_OPEN_ALL_NEW_WINDOW`,Open every bookmark in this folder in a new window,Google Chrome,Bookmarks & Reading List
open,bookmark,,,`IDC_BOOKMARK_BAR_OPEN_ALL_INCOGNITO`,Open every bookmark in this folder in Incognito,Google Chrome,Bookmarks & Reading List
open,bookmark,,,`IDC_BOOKMARK_BAR_OPEN_INCOGNITO`,Open this one bookmark in Incognito,Google Chrome,Bookmarks & Reading List
open,bookmark,,,`IDC_BOOKMARK_BAR_OPEN_ALL_NEW_TAB_GROUP`,Open every bookmark in this folder into a new tab group,Google Chrome,Bookmarks & Reading List
rename,folder,,,`IDC_BOOKMARK_BAR_RENAME_FOLDER`,Rename a bookmark folder,Google Chrome,Bookmarks & Reading List
,,,,`IDC_BOOKMARK_BAR_EDIT`,Edit a bookmark,Google Chrome,Bookmarks & Reading List
delete,bookmark,,,`IDC_BOOKMARK_BAR_REMOVE`,Delete a bookmark or folder,Google Chrome,Bookmarks & Reading List
undo,bookmark,,,`IDC_BOOKMARK_BAR_UNDO`,Undo the last bookmark change,Google Chrome,Bookmarks & Reading List
redo,bookmark,,,`IDC_BOOKMARK_BAR_REDO`,Redo the last undone bookmark change,Google Chrome,Bookmarks & Reading List
new,bookmark,,,`IDC_BOOKMARK_BAR_ADD_NEW_BOOKMARK`,Add a new bookmark,Google Chrome,Bookmarks & Reading List
new,folder,,,`IDC_BOOKMARK_BAR_NEW_FOLDER`,Create a new bookmark folder,Google Chrome,Bookmarks & Reading List
toggle,bookmark,,,`IDC_BOOKMARK_BAR_ALWAYS_SHOW`,"Toggle ""Always show bookmarks bar""",Google Chrome,Bookmarks & Reading List
new,bookmark,,,`IDC_BOOKMARK_BAR_ADD_TO_BOOKMARKS_BAR`,Add this bookmark to the bookmarks bar,Google Chrome,Bookmarks & Reading List
delete,bookmark,,,`IDC_BOOKMARK_BAR_REMOVE_FROM_BOOKMARKS_BAR`,Remove this bookmark from the bookmarks bar,Google Chrome,Bookmarks & Reading List
move,bookmark,,,`IDC_BOOKMARK_BAR_MOVE`,Move a bookmark to another folder,Google Chrome,Bookmarks & Reading List
show,document,,Ctrl+U,`IDC_VIEW_SOURCE`,View the page's HTML source,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
print,,,Ctrl+P,`IDC_PRINT`,Print the current page,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
save,document,,Ctrl+S,`IDC_SAVE_PAGE`,Save the current page to disk,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
print,,,Ctrl+Shift+P,`IDC_BASIC_PRINT`,"Open the system print dialog, bypassing print preview",Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_EMAIL_PAGE_LOCATION`,Email a link to the current page,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_SHOW_TRANSLATE`,Translate the current page,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_MANAGE_PASSWORDS_FOR_PAGE`,Open the password bubble for this site,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_ROUTE_MEDIA`,Start Casting media from this page,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
mute,tab,,,`IDC_WINDOW_MUTE_SITE`,Mute audio from the current tab's site,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
enable,pin,,,`IDC_WINDOW_PIN_TAB`,Pin the current tab,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
new,group,,,`IDC_WINDOW_GROUP_TAB`,Add the current tab to a tab group,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_SEND_TAB_TO_SELF`,Send the current tab to another signed-in device,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
activate,tab,,,`IDC_FOCUS_THIS_TAB`,Move keyboard focus to the current tab,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_QRCODE_GENERATOR`,Generate a QR code for the current page,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
close,tab,,,`IDC_WINDOW_CLOSE_TABS_TO_RIGHT`,Close all tabs to the right of this one,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
close,tab,,,`IDC_WINDOW_CLOSE_OTHER_TABS`,Close every tab except this one,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
new,tab,,,`IDC_NEW_TAB_TO_RIGHT`,Open a new tab immediately to the right,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_SHARING_HUB`,Open the sharing hub for this page,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
new,screenshot,,,`IDC_SHARING_HUB_SCREENSHOT`,Take a screenshot via the sharing hub,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_SHOW_PASSWORD_MANAGER`,Open Chrome's Password Manager,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_SHOW_PAYMENT_METHODS`,Open saved payment methods,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_SHOW_ADDRESSES`,Open saved addresses,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_ORGANIZE_TABS`,Open AI-assisted tab organization,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
new,screenshot,,,`IDC_TAKE_SCREENSHOT`,Capture a screenshot of the page,Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
,,,,`IDC_CONTENT_CONTEXT_GENERATE_QR_CODE`,Generate a QR code for the link/page (context menu),Google Chrome,"Page Actions (Print, Save, Sharing, Site Controls)"
more,zoom,,Ctrl+= (also Ctrl+Shift+=),`IDC_ZOOM_PLUS`,Zoom in,Google Chrome,Zoom
reset,zoom,,Ctrl+0,`IDC_ZOOM_NORMAL`,Reset zoom to 100%,Google Chrome,Zoom
less,zoom,,Ctrl+- (also Ctrl+Shift+-),`IDC_ZOOM_MINUS`,Zoom out,Google Chrome,Zoom
open,search,,Ctrl+F,`IDC_FIND`,Open the find-in-page bar,Google Chrome,Find in Page
next,match,,"Ctrl+G, F3",`IDC_FIND_NEXT`,Jump to the next match,Google Chrome,Find in Page
previous,match,,"Ctrl+Shift+G, Shift+F3",`IDC_FIND_PREVIOUS`,Jump to the previous match,Google Chrome,Find in Page
close,search,,Esc,`IDC_CLOSE_FIND_OR_STOP`,"Close the find bar, or stop page load if find isn't open",Google Chrome,Find in Page
cut,clipboard,,Ctrl+X,`IDC_CUT`,Cut,Google Chrome,Clipboard
copy,clipboard,,Ctrl+C,`IDC_COPY`,Copy,Google Chrome,Clipboard
paste,clipboard,,Ctrl+V,`IDC_PASTE`,Paste,Google Chrome,Clipboard
paste,clipboard,,,`IDC_PASTE_AND_GO`,Paste clipboard text into the omnibox and navigate,Google Chrome,Clipboard
show,history,,Ctrl+H,`IDC_SHOW_HISTORY`,Open History,Google Chrome,History & Downloads
show,history,,,`IDC_SHOW_HISTORY_SIDE_PANEL`,Open History in the side panel,Google Chrome,History & Downloads
show,history,,,`IDC_SHOW_HISTORY_CLUSTERS_SIDE_PANEL`,Open History Journeys side panel,Google Chrome,History & Downloads
show,download,,Ctrl+J,`IDC_SHOW_DOWNLOADS`,Open Downloads,Google Chrome,History & Downloads
delete,history,,Ctrl+Shift+Delete,`IDC_CLEAR_BROWSING_DATA`,"Open ""Clear browsing data""",Google Chrome,History & Downloads
open,closed,,,`IDC_OPEN_RECENT_TAB`,Reopen a specific recently-closed tab (dynamic menu item),Google Chrome,History & Downloads
show,tab,,,`IDC_RECENT_TABS_SEE_DEVICE_TABS`,See tabs open on other signed-in devices,Google Chrome,History & Downloads
show,tab,,,`IDC_SHOW_TABS_FROM_OTHER_DEVICES_SIDE_PANEL`,Show other devices' open tabs in the side panel,Google Chrome,History & Downloads
,,,F12,`IDC_DEV_TOOLS_TOGGLE`,Toggle DevTools open/closed,Google Chrome,DevTools
,,,Ctrl+Shift+I,`IDC_DEV_TOOLS`,Open DevTools,Google Chrome,DevTools
open,output,,Ctrl+Shift+J,`IDC_DEV_TOOLS_CONSOLE`,Open DevTools to the JS console,Google Chrome,DevTools
,,,Ctrl+Shift+C,`IDC_DEV_TOOLS_INSPECT`,Open DevTools in inspect-element mode,Google Chrome,DevTools
,,,,`IDC_CONTENT_CONTEXT_INSPECTELEMENT`,Inspect the right-clicked element,Google Chrome,DevTools
,,,,`IDC_TASK_MANAGER`,Open Chrome's Task Manager,Google Chrome,DevTools
,,,Shift+Esc,`IDC_TASK_MANAGER_SHORTCUT`,Open Task Manager (keyboard variant),Google Chrome,DevTools
show,account,,Ctrl+Shift+M,`IDC_SHOW_AVATAR_MENU`,Open the profile/avatar menu,Google Chrome,Profiles & Sync
,,,,`IDC_CUSTOMIZE_CHROME`,"Open the ""Customize Chrome"" side panel",Google Chrome,Profiles & Sync
close,account,,,`IDC_CLOSE_PROFILE`,Close all windows for the current profile,Google Chrome,Profiles & Sync
open,account,,,`IDC_MANAGE_GOOGLE_ACCOUNT`,Open your Google Account page,Google Chrome,Profiles & Sync
new,profile,,,`IDC_OPEN_GUEST_PROFILE`,Open a new Guest window,Google Chrome,Profiles & Sync
new,profile,,,`IDC_ADD_NEW_PROFILE`,Add a new Chrome profile,Google Chrome,Profiles & Sync
open,profile,,,`IDC_MANAGE_CHROME_PROFILES`,Open profile-management settings,Google Chrome,Profiles & Sync
open,account,,,`IDC_SHOW_SIGNIN`,Open the sign-in flow,Google Chrome,Profiles & Sync
open,setting,,,`IDC_OPTIONS`,Open Chrome Settings,Google Chrome,"Settings, Browser UI & Extensions"
open,file,,Ctrl+O,`IDC_OPEN_FILE`,Open a local file in the browser,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_CREATE_SHORTCUT`,Create a desktop shortcut for the current page/app,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_IMPORT_SETTINGS`,Import bookmarks/settings from another browser,Google Chrome,"Settings, Browser UI & Extensions"
open,setting,,,`IDC_EDIT_SEARCH_ENGINES`,Open search-engine settings,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_VIEW_PASSWORDS`,Open the Password Manager,Google Chrome,"Settings, Browser UI & Extensions"
manual,,,,`IDC_ABOUT`,Open the About/relaunch page,Google Chrome,"Settings, Browser UI & Extensions"
manual,,,F1,`IDC_HELP_PAGE_VIA_KEYBOARD`,Open Chrome help,Google Chrome,"Settings, Browser UI & Extensions"
manual,,,,`IDC_HELP_PAGE_VIA_MENU`,Open Chrome help (via menu),Google Chrome,"Settings, Browser UI & Extensions"
,,,"Alt+E, Alt+F",`IDC_SHOW_APP_MENU`,Open the Chrome (3-dot) menu,Google Chrome,"Settings, Browser UI & Extensions"
open,extension,,,`IDC_MANAGE_EXTENSIONS`,Open the Extensions management page,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_UPGRADE_DIALOG`,"Show the ""relaunch to update"" dialog",Google Chrome,"Settings, Browser UI & Extensions"
new,application,,,`IDC_INSTALL_PWA`,Install the current site as an app,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_SHOW_MANAGEMENT_PAGE`,Open chrome://management,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_SHOW_FULL_URLS`,Toggle showing full URLs in the address bar,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_CHROME_WHATS_NEW`,"Open ""What's New in Chrome""",Google Chrome,"Settings, Browser UI & Extensions"
open,setting,,,`IDC_PERFORMANCE`,Open Performance settings (memory/energy saver),Google Chrome,"Settings, Browser UI & Extensions"
open,extension,,,`IDC_EXTENSIONS_SUBMENU_MANAGE_EXTENSIONS`,Manage extensions (toolbar submenu),Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_EXTENSIONS_SUBMENU_VISIT_CHROME_WEB_STORE`,Open the Chrome Web Store,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_SHOW_CHROME_LABS`,Open Chrome Labs (experimental features flask),Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_OPEN_SAFETY_HUB`,Open Safety Check / Safety Hub,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_SHOW_GOOGLE_LENS_SHORTCUT`,Open Google Lens search,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_SHOW_CUSTOMIZE_CHROME_SIDE_PANEL`,Open the Customize Chrome side panel,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_SET_BROWSER_AS_DEFAULT`,Set Chrome as the default browser,Google Chrome,"Settings, Browser UI & Extensions"
,,,Alt+Shift+I,`IDC_FEEDBACK`,Report an issue / send feedback (branded builds),Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_UPDATE_SIDE_PANEL_PIN_STATE`,Pin/unpin a side-panel entry to the toolbar,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_STATUS_TRAY_KEEP_CHROME_RUNNING_IN_BACKGROUND`,"Toggle ""keep running background apps""",Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_OPEN_GLIC`,"Open Glic, Chrome's built-in AI assistant panel",Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_GLIC_TOGGLE_PIN`,Pin/unpin the Glic button on the toolbar,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_GLIC_STATUS_ICON_MENU_TOGGLE`,Show/hide the Glic panel (system tray),Google Chrome,"Settings, Browser UI & Extensions"
open,search,,Ctrl+Shift+A,`IDC_TAB_SEARCH`,Open the tab-search dropdown,Google Chrome,"Settings, Browser UI & Extensions"
close,search,,,`IDC_TAB_SEARCH_CLOSE`,Close the tab-search dropdown,Google Chrome,"Settings, Browser UI & Extensions"
toggle,caption,,,`IDC_LIVE_CAPTION`,Toggle Live Caption,Google Chrome,"Settings, Browser UI & Extensions"
,,,,`IDC_CHROME_ENTERPRISE_RELEASE_NOTES`,Open Chrome Enterprise release notes,Google Chrome,"Settings, Browser UI & Extensions"
,,,Alt+Shift+A,`IDC_FOCUS_INACTIVE_POPUP_FOR_ACCESSIBILITY`,Move focus to an inactive popup/infobar for screen readers,Google Chrome,Accessibility
,,,F7,`IDC_CARET_BROWSING_TOGGLE`,Toggle caret browsing,Google Chrome,Accessibility
,,,,`IDC_CONTENT_CONTEXT_ACCESSIBILITY_LABELS_TOGGLE`,"Toggle ""Get image descriptions"" labels",Google Chrome,Accessibility
,,,,`IDC_CONTENT_CONTEXT_LISTEN_TO_THIS_PAGE`,Read this page aloud,Google Chrome,Accessibility
,,,Alt+Shift+T,`IDC_FOCUS_TOOLBAR`,Move keyboard focus to the toolbar,Google Chrome,Focus / Keyboard Navigation
,,,"Ctrl+L, Alt+D",`IDC_FOCUS_LOCATION`,Move keyboard focus to the address bar,Google Chrome,Focus / Keyboard Navigation
activate,search,,"Ctrl+K, Ctrl+E",`IDC_FOCUS_SEARCH`,Focus the address bar in search/keyword mode,Google Chrome,Focus / Keyboard Navigation
,,,"F10, Alt",`IDC_FOCUS_MENU_BAR`,Move keyboard focus to the menu bar (Linux),Google Chrome,Focus / Keyboard Navigation
next,pane,,F6,`IDC_FOCUS_NEXT_PANE`,Move focus to the next UI pane,Google Chrome,Focus / Keyboard Navigation
previous,pane,,Shift+F6,`IDC_FOCUS_PREVIOUS_PANE`,Move focus to the previous UI pane,Google Chrome,Focus / Keyboard Navigation
activate,bookmark,,Alt+Shift+B,`IDC_FOCUS_BOOKMARKS`,Move keyboard focus to the bookmarks bar,Google Chrome,Focus / Keyboard Navigation
activate,pane,,Ctrl+F6,`IDC_FOCUS_WEB_CONTENTS_PANE`,Move keyboard focus to the page content,Google Chrome,Focus / Keyboard Navigation
,,,,`IDC_CHECK_SPELLING_WHILE_TYPING`,"Toggle ""Check spelling while typing""",Google Chrome,Spell Check & Writing Direction
,,,,`IDC_SPELLCHECK_ADD_TO_DICTIONARY`,Add the selected word to the custom dictionary,Google Chrome,Spell Check & Writing Direction
,,,,`IDC_SPELLCHECK_MULTI_LINGUAL`,Toggle multilingual spellcheck,Google Chrome,Spell Check & Writing Direction
,,,,`IDC_SPELLCHECK_REMOVE_FROM_DICTIONARY`,Remove the selected word from the custom dictionary,Google Chrome,Spell Check & Writing Direction
,,,,`IDC_CONTENT_CONTEXT_SPELLING_SUGGESTION`,Apply the top spelling suggestion,Google Chrome,Spell Check & Writing Direction
,,,,`IDC_CONTENT_CONTEXT_SPELLING_TOGGLE`,Toggle spell-check for this field,Google Chrome,Spell Check & Writing Direction
,,,,`IDC_WRITING_DIRECTION_LTR`,Set editable text's direction to left-to-right,Google Chrome,Spell Check & Writing Direction
,,,,`IDC_WRITING_DIRECTION_RTL`,Set editable text's direction to right-to-left,Google Chrome,Spell Check & Writing Direction
,,,,`IDC_SAVE_CREDIT_CARD_FOR_PAGE`,"Show the ""save this card"" prompt",Google Chrome,"Autofill, Passwords & Payments"
,,,,`IDC_SAVE_AUTOFILL_ADDRESS`,"Show the ""save this address"" prompt",Google Chrome,"Autofill, Passwords & Payments"
,,,,`IDC_CONTENT_CONTEXT_GENERATEPASSWORD`,Suggest a generated password for this field,Google Chrome,"Autofill, Passwords & Payments"
,,,,`IDC_CONTENT_CONTEXT_SHOWALLSAVEDPASSWORDS`,Show all saved passwords,Google Chrome,"Autofill, Passwords & Payments"
,,,,`IDC_CONTENT_CONTEXT_USE_PASSKEY_FROM_ANOTHER_DEVICE`,Use a passkey from another device,Google Chrome,"Autofill, Passwords & Payments"
,,,,`IDC_CONTENT_CONTEXT_AUTOFILL_FEEDBACK`,Send feedback about an Autofill suggestion,Google Chrome,"Autofill, Passwords & Payments"
,,,,`IDC_MEDIA_ROUTER_ABOUT`,About Google Cast,Google Chrome,"Sharing, QR Codes & Casting"
,,,,`IDC_MEDIA_ROUTER_TOGGLE_MEDIA_REMOTING`,Toggle media remoting for a cast session,Google Chrome,"Sharing, QR Codes & Casting"
,,,,`IDC_MEDIA_TOOLBAR_CONTEXT_SHOW_OTHER_SESSIONS`,Show other active Cast sessions,Google Chrome,"Sharing, QR Codes & Casting"
open,tab,,,`IDC_CONTENT_CONTEXT_OPENLINKNEWTAB`,Open link in a new tab,Google Chrome,Context Menu — Links
open,window,,,`IDC_CONTENT_CONTEXT_OPENLINKNEWWINDOW`,Open link in a new window,Google Chrome,Context Menu — Links
open,window,,,`IDC_CONTENT_CONTEXT_OPENLINKOFFTHERECORD`,Open link in a new Incognito window,Google Chrome,Context Menu — Links
open,split,,,`IDC_CONTENT_CONTEXT_OPENLINKSPLITVIEW`,Open link in a new split-view tab,Google Chrome,Context Menu — Links
save,file,,,`IDC_CONTENT_CONTEXT_SAVELINKAS`,Save the link target as a file,Google Chrome,Context Menu — Links
copy,clipboard,,,`IDC_CONTENT_CONTEXT_COPYLINKLOCATION`,Copy the link URL,Google Chrome,Context Menu — Links
copy,clipboard,,,`IDC_CONTENT_CONTEXT_COPYLINKTEXT`,Copy the link's visible text,Google Chrome,Context Menu — Links
copy,clipboard,,,`IDC_CONTENT_CONTEXT_COPYLINKTOTEXT`,Copy a link that scrolls to and highlights this text,Google Chrome,Context Menu — Links
save,file,,,`IDC_CONTENT_CONTEXT_SAVEIMAGEAS`,Save image as a file,Google Chrome,"Context Menu — Images, Audio & Video"
copy,clipboard,,,`IDC_CONTENT_CONTEXT_COPYIMAGELOCATION`,Copy the image URL,Google Chrome,"Context Menu — Images, Audio & Video"
copy,clipboard,,,`IDC_CONTENT_CONTEXT_COPYIMAGE`,Copy the image to the clipboard,Google Chrome,"Context Menu — Images, Audio & Video"
open,tab,,,`IDC_CONTENT_CONTEXT_OPENIMAGENEWTAB`,Open the image in a new tab,Google Chrome,"Context Menu — Images, Audio & Video"
,,,,`IDC_CONTENT_CONTEXT_SEARCHWEBFORIMAGE`,Search the web for this image,Google Chrome,"Context Menu — Images, Audio & Video"
,,,,`IDC_CONTENT_CONTEXT_SEARCHLENSFORIMAGE`,Search this image with Google Lens,Google Chrome,"Context Menu — Images, Audio & Video"
save,file,,,`IDC_CONTENT_CONTEXT_SAVEVIDEOFRAMEAS`,Save the current video frame as an image,Google Chrome,"Context Menu — Images, Audio & Video"
save,file,,,`IDC_CONTENT_CONTEXT_SAVEAVAS`,Save the audio/video file as,Google Chrome,"Context Menu — Images, Audio & Video"
,,,,`IDC_CONTENT_CONTEXT_PICTUREINPICTURE`,Open the video in Picture-in-Picture,Google Chrome,"Context Menu — Images, Audio & Video"
copy,clipboard,,,`IDC_CONTENT_CONTEXT_COPY`,Copy selected content,Google Chrome,Context Menu — Edit
cut,clipboard,,,`IDC_CONTENT_CONTEXT_CUT`,Cut selected content,Google Chrome,Context Menu — Edit
paste,clipboard,,,`IDC_CONTENT_CONTEXT_PASTE`,Paste clipboard content,Google Chrome,Context Menu — Edit
paste,clipboard,,,`IDC_CONTENT_CONTEXT_PASTE_AND_MATCH_STYLE`,Paste without formatting,Google Chrome,Context Menu — Edit
delete,selection,,,`IDC_CONTENT_CONTEXT_DELETE`,Delete the selected content,Google Chrome,Context Menu — Edit
undo,,,,`IDC_CONTENT_CONTEXT_UNDO`,Undo the last edit,Google Chrome,Context Menu — Edit
redo,,,,`IDC_CONTENT_CONTEXT_REDO`,Redo the last undone edit,Google Chrome,Context Menu — Edit
select,,,,`IDC_CONTENT_CONTEXT_SELECTALL`,Select all content,Google Chrome,Context Menu — Edit
,,,,`IDC_CONTENT_CONTEXT_TRANSLATE`,Translate the selected text/page,Google Chrome,Context Menu — Page & Frame
,,,,`IDC_CONTENT_CONTEXT_PARTIAL_TRANSLATE`,Translate only the selected text,Google Chrome,Context Menu — Page & Frame
open,setting,,,`IDC_CONTENT_CONTEXT_LANGUAGE_SETTINGS`,Open language settings,Google Chrome,Context Menu — Page & Frame
,,,,`IDC_CONTENT_CONTEXT_LOOK_UP`,Look up the selected word/phrase,Google Chrome,Context Menu — Page & Frame
restart,,,,`IDC_CONTENT_CONTEXT_RELOADFRAME`,Reload just the clicked iframe,Google Chrome,Context Menu — Page & Frame
show,document,,,`IDC_CONTENT_CONTEXT_VIEWFRAMESOURCE`,View the clicked iframe's source,Google Chrome,Context Menu — Page & Frame
,,,,`IDC_CONTENT_CONTEXT_SEARCHWEBFOR`,Search the web for the selected text,Google Chrome,Context Menu — Page & Frame
,,,,`IDC_CONTENT_CONTEXT_SEARCHWEBFORNEWTAB`,Search the web for the selected text in a new tab,Google Chrome,Context Menu — Page & Frame
,,,,`IDC_CONTENT_CONTEXT_LENS_OVERLAY`,Open the Lens overlay search,Google Chrome,Context Menu — Page & Frame
toggle,screen,,,`IDC_CONTENT_CONTEXT_EXIT_FULLSCREEN`,Exit fullscreen (context menu),Google Chrome,Context Menu — Page & Frame
,,,,`IDC_CONTENT_CONTEXT_EMOJI`,Open the emoji picker,Google Chrome,Context Menu — Page & Frame
,,,,`IDC_CONTEXT_COMPOSE`,Open Compose (AI writing help) for this field,Google Chrome,Context Menu — Page & Frame
,,,,`IDC_REPORT_UNSAFE_SITE`,Report the current site as unsafe,Google Chrome,Context Menu — Page & Frame
